date,sales,unit_purchase_cost,fixed_order_cost
2024-03-31,45,41.29,167.06
2024-04-01,47,43.01,156.57
2024-04-02,53,38.35,118.89
2024-04-03,53,44.49,148.97
2024-04-04,55,33.57,135.53
2024-04-05,49,51.3,148.63
2024-04-06,48,45.68,183.7
2024-04-07,51,40.48,142.21
2024-04-08,51,48.18,146.5
2024-04-09,51,36.11,208.76
2024-04-10,49,49.58,175.5
2024-04-11,45,41.04,186.68
2024-04-12,47,41.62,212.05
2024-04-13,44,49.31,186.97
2024-04-14,43,42.2,151.77
2024-04-15,43,41.07,187.7
2024-04-16,54,51.73,130.67
2024-04-17,44,37.93,123.58
2024-04-18,43,35.09,178.36
2024-04-19,45,38.71,172.93
2024-04-20,54,45.48,162.42
2024-04-21,45,34.41,156.88
2024-04-22,52,34.53,133.46
2024-04-23,50,40.26,215.71
2024-04-24,53,34.1,131.41
2024-04-25,50,50.24,179.44
2024-04-26,52,51.65,198.89
2024-04-27,48,34.45,211.75
2024-04-28,44,35.8,215.39
2024-04-29,52,50.7,203.35
2024-04-30,44,33.02,202.45
2024-05-01,48,35.51,143.77
2024-05-02,50,39.04,190.43
2024-05-03,50,52.15,199.59
2024-05-04,44,36.88,172.84
2024-05-05,46,45.14,129.13
2024-05-06,49,35.26,128.29
2024-05-07,48,35.3,165.78
2024-05-08,52,47.37,147.4
2024-05-09,45,46.12,211.19
2024-05-10,54,42.75,132.35
2024-05-11,47,50.65,135.92
2024-05-12,53,32.68,142.09
2024-05-13,50,44.4,167.35
2024-05-14,49,46.34,144.34
2024-05-15,48,35.02,206.25
2024-05-16,50,47.69,128.62
2024-05-17,49,41.27,169.08
2024-05-18,53,36.16,215.86
2024-05-19,50,48.1,122.4
2024-05-20,48,39.41,158.53
2024-05-21,47,38.7,167.79
2024-05-22,45,50.99,191.36
2024-05-23,46,35.54,210.52
2024-05-24,52,40.74,150.99
2024-05-25,45,45.5,137.89
2024-05-26,55,46.75,177.51
2024-05-27,49,45.67,198.59
2024-05-28,56,33.32,178.22
2024-05-29,52,51.75,152.84
2024-05-30,49,38.62,185.63
2024-05-31,53,39.45,123.99
2024-06-01,49,37.11,125.95
2024-06-02,55,47.57,197.84
2024-06-03,49,36.6,157.27
2024-06-04,48,33.31,178.36
2024-06-05,45,42.91,198.13
2024-06-06,49,38.14,142.19
2024-06-07,52,51.29,208.91
2024-06-08,57,43.72,146.79
2024-06-09,51,35.59,177.66
2024-06-10,49,38.28,207.31
2024-06-11,45,49.42,147.38
2024-06-12,48,32.81,185.8
2024-06-13,57,41.99,128.06
2024-06-14,54,33.87,188.37
2024-06-15,57,42.57,175.18
2024-06-16,48,36.47,176.02
2024-06-17,52,35.49,116.61
2024-06-18,51,44.62,141.4
2024-06-19,52,51.01,185.6
2024-06-20,46,43.48,118.66
2024-06-21,56,35.57,201.89
2024-06-22,49,46.39,186.32
2024-06-23,53,33.19,182.82
2024-06-24,48,40.05,205.86
2024-06-25,49,38.47,169.06
2024-06-26,53,51.9,162.84
2024-06-27,54,39.74,203.85
2024-06-28,50,40.51,196.72
2024-06-29,54,34.33,153.49
2024-06-30,58,45.31,165.14
2024-07-01,58,39.93,187.01
2024-07-02,49,49.98,183.42
2024-07-03,55,32.42,143.61
2024-07-04,51,46.91,205.05
2024-07-05,58,32.66,207.28
2024-07-06,50,48.09,170.03
2024-07-07,51,36.52,122.81
2024-07-08,57,38.34,178.26
2024-07-09,56,34.69,154.39
2024-07-10,49,39.08,150.24
2024-07-11,51,38.82,119.65
2024-07-12,56,42.02,160.16
2024-07-13,51,46.38,194.4
2024-07-14,50,41.66,199.47
2024-07-15,55,51.5,206.16
2024-07-16,48,36.3,154.9
2024-07-17,49,45.18,161.55
2024-07-18,53,48.69,187.0
2024-07-19,58,40.77,138.02
2024-07-20,52,46.07,212.34
2024-07-21,50,51.65,155.38
2024-07-22,57,49.27,203.82
2024-07-23,51,48.44,166.41
2024-07-24,59,49.9,205.51
2024-07-25,59,35.63,178.34
2024-07-26,52,41.46,207.37
2024-07-27,54,34.96,141.34
2024-07-28,55,36.83,173.77
2024-07-29,50,44.7,120.01
2024-07-30,51,35.54,147.61
2024-07-31,56,45.85,145.83
2024-08-01,59,34.45,129.2
2024-08-02,51,32.08,195.57
2024-08-03,49,42.63,138.59
2024-08-04,55,45.88,215.9
2024-08-05,55,35.27,181.01
2024-08-06,52,35.06,190.22
2024-08-07,55,50.72,168.95
2024-08-08,56,42.69,198.16
2024-08-09,60,45.0,135.91
2024-08-10,60,41.39,129.61
2024-08-11,59,36.38,156.49
2024-08-12,52,42.35,194.22
2024-08-13,55,34.13,186.24
2024-08-14,58,41.46,171.15
2024-08-15,56,48.31,138.22
2024-08-16,53,39.29,209.32
2024-08-17,52,32.52,156.46
2024-08-18,59,43.33,144.79
2024-08-19,52,40.99,124.41
2024-08-20,59,44.37,153.52
2024-08-21,56,41.48,116.56
2024-08-22,58,43.43,170.62
2024-08-23,60,50.34,121.45
2024-08-24,48,43.08,214.9
2024-08-25,53,36.44,149.72
2024-08-26,55,40.28,171.67
2024-08-27,56,46.15,131.6
2024-08-28,51,39.95,159.84
2024-08-29,50,40.4,157.92
2024-08-30,58,32.31,136.43
2024-08-31,48,40.58,116.68
2024-09-01,50,42.06,179.4
2024-09-02,53,38.64,190.75
2024-09-03,58,46.53,188.06
2024-09-04,50,44.04,157.56
2024-09-05,57,40.46,211.3
2024-09-06,58,43.2,153.34
2024-09-07,53,44.46,137.48
2024-09-08,55,42.21,143.84
2024-09-09,59,45.85,141.93
2024-09-10,50,50.94,198.55
2024-09-11,51,37.76,121.75
2024-09-12,54,45.54,175.76
2024-09-13,58,35.08,164.76
2024-09-14,58,47.72,203.63
2024-09-15,55,42.01,190.99
2024-09-16,51,35.26,132.61
2024-09-17,54,45.54,129.21
2024-09-18,49,41.06,117.97
2024-09-19,55,43.91,168.76
2024-09-20,57,43.54,213.27
2024-09-21,62,51.25,124.65
2024-09-22,55,51.03,147.56
2024-09-23,55,45.79,191.07
2024-09-24,62,36.75,130.75
2024-09-25,58,37.04,141.17
2024-09-26,60,41.23,129.34
2024-09-27,52,48.73,184.29
2024-09-28,62,35.58,183.56
2024-09-29,51,35.28,140.92
2024-09-30,62,33.55,160.56
2024-10-01,56,34.4,152.18
2024-10-02,56,45.72,197.65
2024-10-03,58,41.4,123.38
2024-10-04,53,41.39,121.07
2024-10-05,55,35.67,153.26
2024-10-06,55,45.05,153.32
2024-10-07,60,47.46,129.92
2024-10-08,52,33.95,199.72
2024-10-09,58,37.02,204.95
2024-10-10,58,35.59,169.44
2024-10-11,50,38.22,203.65
2024-10-12,51,44.75,148.21
2024-10-13,56,38.44,198.05
2024-10-14,53,44.63,138.38
2024-10-15,54,47.13,214.1
2024-10-16,61,40.11,125.58
2024-10-17,62,49.22,189.54
2024-10-18,51,48.02,155.35
2024-10-19,59,34.83,116.76
2024-10-20,52,46.76,168.09
2024-10-21,57,50.92,176.38
2024-10-22,51,39.31,162.15
2024-10-23,51,32.49,178.17
2024-10-24,59,50.93,206.88
2024-10-25,62,36.98,154.92
2024-10-26,52,33.73,147.61
2024-10-27,60,31.49,191.27
2024-10-28,59,49.42,153.34
2024-10-29,51,31.54,208.01
2024-10-30,54,44.95,212.12
2024-10-31,63,31.31,125.31
2024-11-01,60,45.83,204.99
2024-11-02,63,38.12,155.34
2024-11-03,53,49.75,209.11
2024-11-04,56,31.25,185.53
2024-11-05,56,48.62,127.6
2024-11-06,63,34.64,198.06
2024-11-07,61,47.64,161.83
2024-11-08,55,48.94,210.27
2024-11-09,52,44.43,119.07
2024-11-10,54,34.7,203.98
2024-11-11,61,47.59,136.61
2024-11-12,57,40.2,207.65
2024-11-13,52,42.99,123.53
2024-11-14,57,47.09,200.85
2024-11-15,62,37.45,185.17
2024-11-16,63,43.36,170.97
2024-11-17,62,32.27,157.95
2024-11-18,52,41.35,136.2
2024-11-19,51,44.8,180.61
2024-11-20,52,46.33,149.4
2024-11-21,59,43.06,139.82
2024-11-22,53,37.21,152.23
2024-11-23,57,50.72,177.14
2024-11-24,51,35.26,130.56
2024-11-25,62,41.32,145.86
2024-11-26,59,32.97,129.06
2024-11-27,62,36.85,189.05
2024-11-28,64,41.41,200.34
2024-11-29,55,32.36,127.92
2024-11-30,64,43.22,126.45
2024-12-01,58,36.69,193.9
2024-12-02,64,42.07,197.18
2024-12-03,58,46.69,178.1
2024-12-04,54,36.25,201.79
2024-12-05,59,32.14,125.28
2024-12-06,61,47.88,126.33
2024-12-07,57,36.48,170.16
2024-12-08,65,43.61,125.3
2024-12-09,61,47.71,127.84
2024-12-10,62,31.27,211.75
2024-12-11,63,39.32,157.83
2024-12-12,60,42.97,150.12
2024-12-13,57,31.6,187.19
2024-12-14,61,34.27,132.73
2024-12-15,62,43.76,156.64
2024-12-16,59,49.96,141.36
2024-12-17,53,42.71,198.37
2024-12-18,56,45.62,124.86
2024-12-19,56,46.27,187.25
2024-12-20,63,43.4,187.49
2024-12-21,59,32.34,173.62
2024-12-22,60,41.46,185.33
2024-12-23,57,40.49,159.67
2024-12-24,60,36.62,191.76
2024-12-25,58,44.99,149.9
2024-12-26,56,41.13,158.54
2024-12-27,60,36.42,161.69
2024-12-28,65,50.02,167.62
2024-12-29,57,44.95,159.1
2024-12-30,55,31.26,126.59
2024-12-31,55,35.92,135.53
